Region,Sub Region,City,City Index,State,Year,MMWR Week,Lookup Index,Deaths_Pneumonia_and_Influenza,Average LST_degC,Average_NDVI,TotalpopA,Malepop,pctmale,Femalepop,Medianage,TotalpopB,Age60andover,pct60andover,Age65andover,pct65andover,Age75andover,pct75andover,TotalpopC,Whitepop,pct_white,Blackpop,pct_black,AmericanIndian_AlaskaNativepop,Asianpop,NativeHawaiian_PacificIslanderpop,Otherpop
New England & Mid Atlantic,New England,Providence,28,RI,2015,37,2015_37,4,29.04,5979.82,179204,89090,0.497142921,90114,49,179204,24749,0.138105176,17209,0.096030223,6621,0.03694672,179204,92348,0.515323319,25498,0.14228477,1646,10922,211,39957
New England & Mid Atlantic,New England,Providence,28,RI,2015,38,2015_38,0,24.3,5967.57,179204,89090,0.497142921,90114,49,179204,24749,0.138105176,17209,0.096030223,6621,0.03694672,179204,92348,0.515323319,25498,0.14228477,1646,10922,211,39957
New England & Mid Atlantic,New England,Providence,28,RI,2015,39,2015_39,3,25.24,5958.59,179204,89090,0.497142921,90114,49,179204,24749,0.138105176,17209,0.096030223,6621,0.03694672,179204,92348,0.515323319,25498,0.14228477,1646,10922,211,39957
New England & Mid Atlantic,New England,Providence,28,RI,2015,40,2015_40,2,19.5,5951.86,179204,89090,0.497142921,90114,49,179204,24749,0.138105176,17209,0.096030223,6621,0.03694672,179204,92348,0.515323319,25498,0.14228477,1646,10922,211,39957
New England & Mid Atlantic,New England,Providence,28,RI,2015,41,2015_41,0,17.22,5712.92,179204,89090,0.497142921,90114,49,179204,24749,0.138105176,17209,0.096030223,6621,0.03694672,179204,92348,0.515323319,25498,0.14228477,1646,10922,211,39957
New England & Mid Atlantic,New England,Providence,28,RI,2015,42,2015_42,1,13.94,5115.57,179204,89090,0.497142921,90114,49,179204,24749,0.138105176,17209,0.096030223,6621,0.03694672,179204,92348,0.515323319,25498,0.14228477,1646,10922,211,39957
New England & Mid Atlantic,New England,Providence,28,RI,2015,43,2015_43,2,15.55,5115.57,179204,89090,0.497142921,90114,49,179204,24749,0.138105176,17209,0.096030223,6621,0.03694672,179204,92348,0.515323319,25498,0.14228477,1646,10922,211,39957
New England & Mid Atlantic,New England,Providence,28,RI,2015,44,2015_44,7,15.87,4316.71,179204,89090,0.497142921,90114,49,179204,24749,0.138105176,17209,0.096030223,6621,0.03694672,179204,92348,0.515323319,25498,0.14228477,1646,10922,211,39957
New England & Mid Atlantic,New England,Providence,28,RI,2015,45,2015_45,1,13.63,4316.71,179204,89090,0.497142921,90114,49,179204,24749,0.138105176,17209,0.096030223,6621,0.03694672,179204,92348,0.515323319,25498,0.14228477,1646,10922,211,39957
New England & Mid Atlantic,New England,Providence,28,RI,2015,46,2015_46,5,10.75,4264.98,179204,89090,0.497142921,90114,49,179204,24749,0.138105176,17209,0.096030223,6621,0.03694672,179204,92348,0.515323319,25498,0.14228477,1646,10922,211,39957
